Case ID,Activity,Activity ID,Event Type,Timestamp,Resource,Cost,Duration (min)
1,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
2,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
3,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
4,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
5,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
6,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
7,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
8,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
9,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
10,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
11,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
12,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
13,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
14,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
15,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
16,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
17,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
18,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
19,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
20,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
21,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
22,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
23,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
24,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
25,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
26,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
27,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
28,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
29,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
30,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
31,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
32,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
33,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
34,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
35,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
36,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
37,Report Issue or Request,Task_1,start,Mon Jan 01 2024 08:00:00 GMT+0100 (Central European Standard Time),Uporabnik (User),0,
